Suite,Code,Liquidus(1kbar),SiO2,TiO2,Al2O3,FeOt,MnO,MgO,CaO,Na2O,K2O,P2O5,LOI,V,Sc,Cr,Y,Ni,Co,Cu,Pd_ppb,Pt_ppb,Ru_ppb,Rb,Sr,Bar,Th,U,Ta,Zr,Hf,La,Ce,Nd,Sm,Eu,Gd,Tb,Yb,Lu,Gd/Yb,La/Sm,Th/U ,87Sr/86Sr**,206Pb/204Pb**,?Nd**,?Os**
Nadezhdinsky,Nd1,1208.4,52.87,0.96,15.76,9.4,0.17,6.73,9.94,2.67,1.39,0.12,2.94,207,29,136,22,28,35,33,<0.5-2.9,<0.5-5,<0.5,40.97,284,459,3.132,0.83,0.485,123,3.069,16.95,36.57,17.26,3.84,1.083,3.86,0.626,2.136,0.32,1.81,4.41,3.77,0.7082,17.621,-8.45,n.d.
Nadezhdinsky,Nd2,1196.3,52.87,1.06,15.69,10.13,0.17,6.34,9.81,2.53,1.26,0.13,1.92,214,30,79,24,44,39,78,<2,<0.7-2.5,<0.5,37.33,328,387,3.271,0.908,0.526,137,3.466,17.92,39.11,18.49,4.16,1.161,4.158,0.686,2.364,0.352,1.76,4.3,3.6,0.7086,17.59,-7.9,n.d.
Nadezhdinsky,Nd3,1208.6,50.71,1.06,16.21,10.62,0.18,6.63,11.51,2.21,0.7,0.16,2.33,228,33,124,26,86,40,92,<2-8.2,<1-7.8,<0.5,13.95,269,372,2.086,0.904,0.404,114,2.76,13.4,29.2,14.9,3.62,1.1,4.03,0.683,2.68,0.407,1.5,3.7,2.31,0.7065,17.967,-2.49,
Morongovsky,Mr1,1207.8,50.16,1.15,15.7,11.31,0.2,7.14,11.65,2.18,0.37,0.13,2.37,269,36,119,24,86,43,103,4.91,6.23,<0.5,6.79,228,271,1.651,0.617,0.341,106,2.622,10.32,23.56,13.49,3.47,1.096,3.893,0.651,2.334,0.36,1.67,2.98,2.68,0.7063,17.851,-0.24,n.d.
Morongovsky,Mr2,1211.9,49.61,1.16,16.16,11.36,0.2,7.44,11.56,2.04,0.34,0.13,2.03,262,35,136,24,116,46,117,7.74,9.11,<0.5-0.7,6.11,193,202,1.114,0.445,0.283,93,2.371,7.66,18.01,11.03,3.1,1.048,3.736,0.626,2.364,0.36,1.58,2.47,2.5,0.7051,18.144,1.99,n.d.
Mokulaevsky,Mk,1209.3,49.47,1.27,15.93,11.76,0.2,7.25,11.52,2.19,0.31,0.14,1.99,266,36,144,24,111,45,135,8.92,9.46,<0.5-0.6,6.46,211,167,0.993,0.378,0.265,95,2.391,7.3,17.84,11.56,3.3,1.138,3.873,0.662,2.449,0.367,1.58,2.21,2.62,0.7055,17.945,1.23,n.d.
Kharaelakhsky,Hr,1200.6,49.28,1.41,15.59,12.32,0.2,7.3,11.09,2.3,0.35,0.16,2.04,291,39,142,27,123,47,160,15,11,<0.5-0.6,6.89,181,133,0.945,0.383,0.284,106,2.56,7,17.2,11.4,3.48,1.19,4.24,0.737,2.75,0.411,1.54,2.01,2.47,0.7046,17.901,2.32,n.d.
