Reference,Suite,Title,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,LOI,Cr
Naldrett 2004,Nadezhdinsky,Nd1,52.87,0.96,15.76,9.4,0.17,6.73,9.94,2.67,1.39,0.12,2.94,136
Naldrett 2004,Nadezhdinsky,Nd2,52.87,1.06,15.69,10.13,0.17,6.34,9.81,2.53,1.26,0.13,1.92,79
Naldrett 2004,Nadezhdinsky,Nd3,50.71,1.06,16.21,10.62,0.18,6.63,11.51,2.21,0.7,0.16,2.33,124
Naldrett 2004,Morongovsky,Mr1,50.16,1.15,15.7,11.31,0.2,7.14,11.65,2.18,0.37,0.13,2.37,119
Naldrett 2004,Morongovsky,Mr2,49.61,1.16,16.16,11.36,0.2,7.44,11.56,2.04,0.34,0.13,2.03,136
Naldrett 2004,Mokulaevsky,Mk,49.47,1.27,15.93,11.76,0.2,7.25,11.52,2.19,0.31,0.14,1.99,144
Naldrett 2004,Kharaelakhsky,Hr,49.28,1.41,15.59,12.32,0.2,7.3,11.09,2.3,0.35,0.16,2.04,142
