Title: Hr

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 clinopyroxene_0 clinopyroxene_1 feldspar_0 spinel_0 rhm-oxide_0 whitlockite 
500.00 1523.15 98.044077 98.044077 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1513.15 98.044737 98.044737 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1503.15 98.045437 98.045437 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1493.15 98.046179 98.046179 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1483.15 98.046964 98.046964 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1473.15 98.047232 95.982188 0.000000 0.000000 0.000000 2.065045 0.000000 0.000000 0.000000 
500.00 1463.15 98.046992 92.259787 0.000000 0.000000 0.000000 5.787205 0.000000 0.000000 0.000000 
500.00 1453.15 98.042476 82.132458 0.858924 3.777136 0.000000 11.273958 0.000000 0.000000 0.000000 
500.00 1443.15 98.036808 69.704323 0.990238 8.655957 1.595660 17.090631 0.000000 0.000000 0.000000 
500.00 1433.15 98.032563 57.767171 0.000000 10.735467 6.816103 22.713821 0.000000 0.000000 0.000000 
500.00 1423.15 98.027024 48.574502 0.000000 12.631480 9.481188 27.339853 0.000000 0.000000 0.000000 
500.00 1413.15 98.021028 40.572833 0.000000 14.151915 11.764048 31.532232 0.000000 0.000000 0.000000 
500.00 1403.15 98.013066 33.056727 0.000000 15.395527 13.802174 35.758639 0.000000 0.000000 0.000000 
500.00 1393.15 98.001616 25.748289 0.000000 16.503248 15.650219 40.099859 0.000000 0.000000 0.000000 
500.00 1383.15 97.996165 21.360336 0.000000 17.545613 16.946593 42.143624 0.000000 0.000000 0.000000 
500.00 1373.15 97.996244 18.716124 0.000000 18.455338 17.959721 42.865061 0.000000 0.000000 0.000000 
500.00 1363.15 97.999035 16.640818 0.000000 19.288738 18.935811 43.133669 0.000000 0.000000 0.000000 
500.00 1353.15 98.003724 14.762970 0.000000 20.087050 19.975322 43.178382 0.000000 0.000000 0.000000 
500.00 1343.15 98.006409 12.426977 0.586689 20.964470 20.751158 43.277115 0.000000 0.000000 0.000000 
500.00 1333.15 98.144183 4.933784 0.819184 24.870259 17.102966 43.634216 6.610175 0.000000 0.173598 
500.00 1323.15 98.130237 4.027028 0.957674 24.759662 17.518779 44.161808 6.500944 0.000000 0.204344 
500.00 1313.15 98.117086 3.279285 1.059963 24.622418 17.931871 44.606862 6.387042 0.000000 0.229646 
500.00 1303.15 98.104720 2.649329 1.135921 24.471717 18.335215 44.989104 6.272508 0.000000 0.250926 
500.00 1293.15 98.093086 2.108688 1.192336 24.315451 18.725766 45.322492 6.159191 0.000000 0.269161 
500.00 1283.15 98.082115 1.637152 1.233992 24.158414 19.102637 45.617080 6.047795 0.000000 0.285045 
500.00 1273.15 98.071735 1.220041 1.264341 24.003536 19.466107 45.880211 5.938409 0.000000 0.299090 
500.00 1263.15 98.057861 0.356742 1.298027 23.811524 20.201818 46.382243 5.352226 0.326806 0.328473 
500.00 1253.15 98.052450 0.000000 1.313912 23.709280 20.504030 46.602730 5.092654 0.489384 0.340460 
500.00 1243.15 98.053208 0.000000 1.323718 23.674372 20.486940 46.619511 5.077335 0.530870 0.340460 
