Title: Hr

Phase Volumes:
Pressure Temperature mass V liquid_0 olivine_0 orthopyroxene_0 clinopyroxene_0 clinopyroxene_1 feldspar_0 spinel_0 whitlockite 
500.00 1523.15 98.020346 36.021034 36.021034 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1513.15 98.021007 35.997142 35.997142 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1503.15 98.021710 35.973283 35.973283 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1493.15 98.022455 35.949458 35.949458 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1483.15 98.022430 35.878737 34.824633 0.000000 0.000000 0.000000 0.000000 1.054104 0.000000 0.000000 
500.00 1473.15 98.021997 35.788101 33.257417 0.000000 0.000000 0.000000 0.000000 2.530684 0.000000 0.000000 
500.00 1463.15 98.021502 35.698902 31.754612 0.000000 0.000000 0.000000 0.000000 3.944290 0.000000 0.000000 
500.00 1453.15 98.015349 35.472763 28.494887 0.502746 0.000000 0.369429 0.000000 6.105702 0.000000 0.000000 
500.00 1443.15 98.008620 35.076181 24.263886 0.773957 0.000000 1.859329 0.000000 8.179009 0.000000 0.000000 
500.00 1433.15 98.002900 34.664233 20.162812 0.672782 0.000000 2.875201 0.780723 10.172715 0.000000 0.000000 
500.00 1423.15 97.998271 34.252073 16.211708 0.318635 0.000000 3.324972 2.257923 12.138834 0.000000 0.000000 
500.00 1413.15 97.991764 33.896083 12.685926 0.056832 0.000000 3.716503 3.368677 14.068145 0.000000 0.000000 
500.00 1403.15 97.983043 33.617865 9.820189 0.000000 0.000000 4.138540 3.931284 15.727852 0.000000 0.000000 
500.00 1393.15 97.978373 33.451133 8.218805 0.082099 0.000000 4.522017 4.117582 16.510630 0.000000 0.000000 
500.00 1383.15 97.975877 33.333875 7.151323 0.252467 0.000000 4.850929 4.165247 16.913908 0.000000 0.000000 
500.00 1373.15 97.974946 33.232374 6.281220 0.436157 0.000000 5.136860 4.222945 17.155193 0.000000 0.000000 
500.00 1363.15 97.975328 33.135272 5.488497 0.624292 0.000000 5.395752 4.322222 17.304509 0.000000 0.000000 
500.00 1353.15 97.977088 33.035588 4.706647 0.814201 0.000000 5.640279 4.486348 17.388112 0.000000 0.000000 
500.00 1343.15 97.980449 32.927032 3.881994 1.005770 0.000000 5.883033 4.741376 17.414859 0.000000 0.000000 
500.00 1333.15 98.117237 32.720880 0.328023 0.348651 0.000000 6.940229 5.169554 18.450881 1.483542 0.000000 
500.00 1323.15 98.105901 32.687370 0.000000 0.460456 0.000000 6.912946 5.165648 18.535048 1.503166 0.110106 
500.00 1313.15 98.105511 32.677765 0.000000 0.462519 0.000000 6.887701 5.170525 18.539937 1.506978 0.110106 
500.00 1303.15 98.105153 32.668177 0.000000 0.464505 0.000000 6.863349 5.174934 18.544671 1.510611 0.110106 
500.00 1293.15 98.104826 32.658603 0.000000 0.466408 0.000000 6.839810 5.178982 18.549235 1.514061 0.110106 
500.00 1283.15 98.104532 32.648968 0.000000 0.468223 0.000000 6.817016 5.182762 18.553539 1.517322 0.110106 
500.00 1273.15 98.104271 32.639323 0.000000 0.469947 0.000000 6.794907 5.186354 18.557621 1.520388 0.110106 
500.00 1263.15 98.104044 32.629682 0.000000 0.471572 0.000000 6.773436 5.189837 18.561479 1.523252 0.110106 
500.00 1253.15 98.103850 32.620043 0.000000 0.473095 0.000000 6.752562 5.193285 18.565089 1.525905 0.110106 
500.00 1243.15 98.103692 32.610398 0.000000 0.474510 0.000000 6.732254 5.196764 18.568426 1.528339 0.110106 
