Title: Nd1

Phase Volumes:
Pressure Temperature mass V liquid_0 olivine_0 clinopyroxene_0 clinopyroxene_1 feldspar_0 feldspar_1 spinel_0 rhm-oxide_0 
500.00 1523.15 97.234093 36.911246 36.911246 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1513.15 97.234610 36.888654 36.888654 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1503.15 97.235160 36.866089 36.866089 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1493.15 97.235742 36.843549 36.843549 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1483.15 97.236359 36.821037 36.821037 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1473.15 97.237010 36.798553 36.798553 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1463.15 97.237697 36.776098 36.776098 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1453.15 97.236774 36.646725 35.250332 0.124997 0.326497 0.000000 0.944898 0.000000 0.000000 0.000000 
500.00 1443.15 93.258340 34.862900 31.027289 0.286169 1.508079 0.000000 2.036427 0.000000 0.004936 0.000000 
500.00 1433.15 82.001800 30.671658 27.350819 0.000000 0.978770 0.589661 1.742647 0.000000 0.009761 0.000000 
500.00 1423.15 72.238745 27.058160 24.239541 0.000000 0.510306 0.745425 1.552518 0.000000 0.010370 0.000000 
500.00 1413.15 63.981838 24.008666 21.771160 0.000000 0.384094 0.585408 1.254989 0.000000 0.013015 0.000000 
500.00 1403.15 57.432049 21.580454 19.694067 0.000000 0.322586 0.466763 1.063137 0.000000 0.033901 0.000000 
500.00 1393.15 51.923721 19.490064 17.030387 0.000000 0.589369 0.307043 1.232841 0.000000 0.330423 0.000000 
500.00 1383.15 44.229506 16.885134 15.044475 0.000000 0.392043 0.188397 1.013478 0.000000 0.246740 0.000000 
500.00 1373.15 38.530203 14.939809 13.601752 0.000000 0.250533 0.124545 0.803968 0.000000 0.159011 0.000000 
500.00 1363.15 34.462254 13.520820 12.483078 0.000000 0.178935 0.084294 0.663235 0.000000 0.111277 0.000000 
500.00 1353.15 31.353458 12.417559 11.578031 0.000000 0.138055 0.057126 0.562258 0.000000 0.082089 0.000000 
500.00 1343.15 28.869780 11.523186 10.822525 0.000000 0.112728 0.037975 0.487122 0.000000 0.062835 0.000000 
500.00 1333.15 26.819934 10.775342 10.175021 0.000000 0.096151 0.024025 0.430683 0.000000 0.049463 0.000000 
500.00 1323.15 25.081843 10.133333 9.605048 0.000000 0.085069 0.013504 0.389872 0.000000 0.039839 0.000000 
500.00 1313.15 23.568119 9.566853 9.083726 0.000000 0.078338 0.004999 0.367002 0.000000 0.032788 0.000000 
500.00 1303.15 22.199873 9.040953 8.490149 0.000000 0.079159 0.000000 0.279353 0.164836 0.027457 0.000000 
500.00 1293.15 20.683662 8.438310 7.744408 0.000000 0.079406 0.000000 0.592046 0.000000 0.022451 0.000000 
500.00 1283.15 18.827724 7.702827 7.152553 0.000000 0.063675 0.000000 0.468992 0.000000 0.017607 0.000000 
500.00 1273.15 17.356965 7.118743 6.672556 0.000000 0.052197 0.000000 0.379777 0.000000 0.014212 0.000000 
500.00 1263.15 16.164733 6.644495 6.274891 0.000000 0.043622 0.000000 0.314271 0.000000 0.011712 0.000000 
500.00 1253.15 15.177390 6.251200 5.939476 0.000000 0.037031 0.000000 0.264894 0.000000 0.009799 0.000000 
500.00 1243.15 14.344977 5.919191 5.652326 0.000000 0.031838 0.000000 0.226735 0.000000 0.008293 0.000000 
500.00 1233.15 13.632472 5.633805 5.392644 0.000000 0.029558 0.000000 0.203790 0.000000 0.003522 0.004291 
500.00 1223.15 12.988748 5.375724 5.151426 0.000000 0.027165 0.000000 0.187721 0.000000 0.000000 0.009412 
500.00 1213.15 12.385350 5.136617 4.941646 0.000000 0.023423 0.000000 0.163595 0.000000 0.000000 0.007953 
500.00 1203.15 11.861696 4.928702 4.757265 0.000000 0.020440 0.000000 0.144115 0.000000 0.000000 0.006881 
