Title: Nd1

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 clinopyroxene_0 clinopyroxene_1 feldspar_0 feldspar_1 spinel_0 rhm-oxide_0 
500.00 1523.15 97.234093 97.234093 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1513.15 97.234610 97.234610 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1503.15 97.235160 97.235160 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1493.15 97.235742 97.235742 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1483.15 97.236359 97.236359 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1473.15 97.237010 97.237010 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1463.15 97.237697 97.237697 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1453.15 97.236774 93.258747 0.411380 1.053820 0.000000 2.512826 0.000000 0.000000 0.000000 
500.00 1443.15 93.258340 81.999406 0.948542 4.882724 0.000000 5.405842 0.000000 0.021825 0.000000 
500.00 1433.15 82.001800 72.236417 0.000000 3.179557 1.924439 4.617611 0.000000 0.043776 0.000000 
500.00 1423.15 72.238745 63.978364 0.000000 1.663261 2.443388 4.106590 0.000000 0.047142 0.000000 
500.00 1413.15 63.981838 57.424805 0.000000 1.256152 1.927399 3.313695 0.000000 0.059787 0.000000 
500.00 1403.15 57.432049 51.870910 0.000000 1.058609 1.543676 2.801927 0.000000 0.156926 0.000000 
500.00 1393.15 51.923721 44.190174 0.000000 1.937388 1.018266 3.239871 0.000000 1.538024 0.000000 
500.00 1383.15 44.229506 38.504319 0.000000 1.290015 0.626027 2.655743 0.000000 1.153402 0.000000 
500.00 1373.15 38.530203 34.443503 0.000000 0.825066 0.414590 2.101130 0.000000 0.745914 0.000000 
500.00 1363.15 34.462254 31.338955 0.000000 0.589706 0.281062 1.728970 0.000000 0.523561 0.000000 
500.00 1353.15 31.353458 28.858008 0.000000 0.455277 0.190773 1.462163 0.000000 0.387237 0.000000 
500.00 1343.15 28.869780 26.810010 0.000000 0.371969 0.127010 1.263691 0.000000 0.297100 0.000000 
500.00 1333.15 26.819934 25.073216 0.000000 0.317440 0.080467 1.114455 0.000000 0.234357 0.000000 
500.00 1323.15 25.081843 23.560423 0.000000 0.280994 0.045295 1.006017 0.000000 0.189114 0.000000 
500.00 1313.15 23.568119 22.192944 0.000000 0.258885 0.016791 0.943593 0.000000 0.155906 0.000000 
500.00 1303.15 22.199873 20.677520 0.000000 0.261750 0.000000 0.713893 0.415946 0.130763 0.000000 
500.00 1293.15 20.683662 18.823153 0.000000 0.262805 0.000000 1.490633 0.000000 0.107071 0.000000 
500.00 1283.15 18.827724 17.352780 0.000000 0.210955 0.000000 1.179918 0.000000 0.084071 0.000000 
500.00 1273.15 17.356965 16.160824 0.000000 0.173120 0.000000 0.955084 0.000000 0.067937 0.000000 
500.00 1263.15 16.164733 15.173685 0.000000 0.144854 0.000000 0.790154 0.000000 0.056040 0.000000 
500.00 1253.15 15.177390 14.341428 0.000000 0.123130 0.000000 0.665905 0.000000 0.046928 0.000000 
500.00 1243.15 14.344977 13.629301 0.000000 0.106014 0.000000 0.569916 0.000000 0.039747 0.000000 
500.00 1233.15 13.632472 12.984851 0.000000 0.098611 0.000000 0.512161 0.000000 0.016907 0.019942 
500.00 1223.15 12.988748 12.382442 0.000000 0.090808 0.000000 0.471699 0.000000 0.000000 0.043798 
500.00 1213.15 12.385350 11.858792 0.000000 0.078461 0.000000 0.411042 0.000000 0.000000 0.037056 
500.00 1203.15 11.861696 11.398891 0.000000 0.068620 0.000000 0.362086 0.000000 0.000000 0.032098 
