Title: Mk

Phase Volumes:
Pressure Temperature mass V liquid_0 olivine_0 orthopyroxene_0 clinopyroxene_0 feldspar_0 quartz spinel_0 rhm-oxide_0 apatite water 
500.00 1143.15 16.900197 12.976063 6.992816 0.000000 0.006915 0.012555 0.144116 0.000000 0.007625 0.000000 0.000000 5.812037 
500.00 1133.15 16.427370 12.808907 6.802622 0.000000 0.005647 0.012124 0.133473 0.000000 0.006806 0.000000 0.001797 5.846439 
500.00 1123.15 15.987602 12.644527 6.626144 0.000000 0.004375 0.011891 0.123673 0.000000 0.006093 0.000000 0.002531 5.869820 
500.00 1113.15 15.579788 12.483197 6.462991 0.000000 0.003173 0.011773 0.114731 0.000000 0.005475 0.000000 0.002108 5.882946 
500.00 1103.15 15.204147 12.325646 6.311841 0.000000 0.002151 0.011631 0.106655 0.000000 0.004937 0.000000 0.001709 5.886720 
500.00 1093.15 14.857293 12.171362 6.170328 0.000000 0.002046 0.010998 0.100103 0.000000 0.003559 0.000788 0.001430 5.882109 
500.00 1083.15 14.533942 12.033660 6.018693 0.013563 0.000000 0.002420 0.106945 0.000000 0.000000 0.002051 0.002394 5.887594 
500.00 1073.15 14.182871 11.875265 5.884571 0.009100 0.000000 0.004887 0.094772 0.000000 0.000000 0.001917 0.001675 5.878344 
500.00 1063.15 13.875566 11.724870 5.761048 0.007997 0.000000 0.004865 0.087496 0.000000 0.000000 0.001725 0.001302 5.860436 
500.00 1053.15 13.593590 11.576963 5.647133 0.007035 0.000000 0.004792 0.080940 0.000000 0.000000 0.001559 0.000942 5.834563 
500.00 1043.15 13.334551 11.431171 5.541958 0.006195 0.000000 0.004677 0.075011 0.000000 0.000000 0.001415 0.000588 5.801326 
500.00 1033.15 13.096291 11.318353 5.349071 0.006517 0.000000 0.005752 0.090912 0.054645 0.000000 0.001455 0.002006 5.807995 
